Pressure Vapor	Temperature	Volume Vapor	Enthalpy Vapor	Entropy Vapor
130.0000	-30.0000	0.1740	396.0000	1.8363
130.0000	-25.0000	0.1779	399.8000	1.8515
130.0000	-20.0000	0.1819	403.5000	1.8666
130.0000	-15.0000	0.1858	407.4000	1.8816
130.0000	-10.0000	0.1897	411.2000	1.8964
130.0000	-5.0000	0.1936	415.1000	1.9111
130.0000	0.0000	0.1975	419.1000	1.9256
130.0000	5.0000	0.2014	423.0000	1.9400
130.0000	10.0000	0.2053	427.1000	1.9544
130.0000	15.0000	0.2091	431.1000	1.9686
130.0000	20.0000	0.2130	435.2000	1.9827
130.0000	25.0000	0.2169	439.3000	1.9967
130.0000	30.0000	0.2207	443.5000	2.0106
130.0000	35.0000	0.2246	447.7000	2.0244
130.0000	40.0000	0.2284	452.0000	2.0381
130.0000	45.0000	0.2322	456.3000	2.0517
130.0000	50.0000	0.2361	460.6000	2.0652
130.0000	55.0000	0.2399	465.0000	2.0786
130.0000	60.0000	0.2437	469.4000	2.0920
130.0000	65.0000	0.2475	473.9000	2.1052
130.0000	70.0000	0.2513	478.4000	2.1184
130.0000	75.0000	0.2551	482.9000	2.1315
130.0000	80.0000	0.2590	487.5000	2.1446
130.0000	85.0000	0.2628	492.1000	2.1575
130.0000	90.0000	0.2666	496.7000	2.1704
130.0000	95.0000	0.2704	501.4000	2.1832
130.0000	100.0000	0.2741	506.1000	2.1959
130.0000	105.0000	0.2779	510.9000	2.2086
130.0000	110.0000	0.2817	515.7000	2.2212
130.0000	115.0000	0.2855	520.5000	2.2337
130.0000	120.0000	0.2893	525.4000	2.2462
140.0000	-25.0000	0.1648	399.6000	1.8439
140.0000	-20.0000	0.1684	403.4000	1.8590
140.0000	-15.0000	0.1721	407.2000	1.8740
140.0000	-10.0000	0.1757	411.1000	1.8888
140.0000	-5.0000	0.1794	415.0000	1.9035
140.0000	0.0000	0.1830	418.9000	1.9181
140.0000	5.0000	0.1866	422.9000	1.9326
140.0000	10.0000	0.1903	426.9000	1.9469
140.0000	15.0000	0.1939	431.0000	1.9611
140.0000	20.0000	0.1975	435.1000	1.9752
140.0000	25.0000	0.2011	439.2000	1.9892
140.0000	30.0000	0.2046	443.4000	2.0031
140.0000	35.0000	0.2082	447.6000	2.0169
140.0000	40.0000	0.2118	451.9000	2.0307
140.0000	45.0000	0.2154	456.2000	2.0443
140.0000	50.0000	0.2189	460.5000	2.0578
140.0000	55.0000	0.2225	464.9000	2.0712
140.0000	60.0000	0.2261	469.3000	2.0846
140.0000	65.0000	0.2296	473.8000	2.0979
140.0000	70.0000	0.2332	478.3000	2.1111
140.0000	75.0000	0.2367	482.8000	2.1242
140.0000	80.0000	0.2402	487.4000	2.1372
140.0000	85.0000	0.2438	492.0000	2.1502
140.0000	90.0000	0.2473	496.6000	2.1631
140.0000	95.0000	0.2508	501.3000	2.1759
140.0000	100.0000	0.2544	506.0000	2.1886
140.0000	105.0000	0.2579	510.8000	2.2013
140.0000	110.0000	0.2614	515.6000	2.2139
140.0000	115.0000	0.2649	520.4000	2.2264
140.0000	120.0000	0.2685	525.3000	2.2389
140.0000	125.0000	0.2720	530.2000	2.2513
150.0000	-25.0000	0.1534	399.4000	1.8368
150.0000	-20.0000	0.1568	403.2000	1.8519
150.0000	-15.0000	0.1602	407.0000	1.8669
150.0000	-10.0000	0.1637	410.9000	1.8818
150.0000	-5.0000	0.1671	414.8000	1.8965
150.0000	0.0000	0.1705	418.8000	1.9111
150.0000	5.0000	0.1739	422.7000	1.9256
150.0000	10.0000	0.1772	426.8000	1.9399
150.0000	15.0000	0.1806	430.8000	1.9541
150.0000	20.0000	0.1840	434.9000	1.9683
150.0000	25.0000	0.1874	439.1000	1.9823
150.0000	30.0000	0.1907	443.3000	1.9962
150.0000	35.0000	0.1941	447.5000	2.0100
150.0000	40.0000	0.1974	451.8000	2.0237
150.0000	45.0000	0.2008	456.1000	2.0374
150.0000	50.0000	0.2041	460.4000	2.0509
150.0000	55.0000	0.2074	464.8000	2.0644
150.0000	60.0000	0.2107	469.2000	2.0777
150.0000	65.0000	0.2141	473.7000	2.0910
150.0000	70.0000	0.2174	478.2000	2.1042
150.0000	75.0000	0.2207	482.7000	2.1173
150.0000	80.0000	0.2240	487.3000	2.1304
150.0000	85.0000	0.2273	491.9000	2.1433
150.0000	90.0000	0.2306	496.5000	2.1562
150.0000	95.0000	0.2339	501.2000	2.1690
150.0000	100.0000	0.2372	505.9000	2.1818
150.0000	105.0000	0.2405	510.7000	2.1945
150.0000	110.0000	0.2438	515.5000	2.2071
150.0000	115.0000	0.2471	520.3000	2.2196
150.0000	120.0000	0.2504	525.2000	2.2321
150.0000	125.0000	0.2537	530.1000	2.2445
160.0000	-25.0000	0.1434	399.2000	1.8301
160.0000	-20.0000	0.1466	403.0000	1.8453
160.0000	-15.0000	0.1498	406.9000	1.8603
160.0000	-10.0000	0.1531	410.7000	1.8752
160.0000	-5.0000	0.1563	414.7000	1.8899
160.0000	0.0000	0.1595	418.6000	1.9045
160.0000	5.0000	0.1627	422.6000	1.9190
160.0000	10.0000	0.1659	426.6000	1.9333
160.0000	15.0000	0.1690	430.7000	1.9476
160.0000	20.0000	0.1722	434.8000	1.9617
160.0000	25.0000	0.1754	439.0000	1.9758
160.0000	30.0000	0.1785	443.1000	1.9897
160.0000	35.0000	0.1817	447.4000	2.0035
160.0000	40.0000	0.1848	451.6000	2.0173
160.0000	45.0000	0.1880	455.9000	2.0309
160.0000	50.0000	0.1911	460.3000	2.0444
160.0000	55.0000	0.1942	464.7000	2.0579
160.0000	60.0000	0.1974	469.1000	2.0713
160.0000	65.0000	0.2005	473.6000	2.0846
160.0000	70.0000	0.2036	478.1000	2.0978
160.0000	75.0000	0.2067	482.6000	2.1109
160.0000	80.0000	0.2098	487.2000	2.1240
160.0000	85.0000	0.2129	491.8000	2.1369
160.0000	90.0000	0.2160	496.4000	2.1498
160.0000	95.0000	0.2191	501.1000	2.1627
160.0000	100.0000	0.2222	505.8000	2.1754
160.0000	105.0000	0.2253	510.6000	2.1881
160.0000	110.0000	0.2284	515.4000	2.2007
160.0000	115.0000	0.2315	520.2000	2.2132
160.0000	120.0000	0.2346	525.1000	2.2257
160.0000	125.0000	0.2377	530.0000	2.2381
170.0000	-25.0000	0.1346	399.0000	1.8238
170.0000	-20.0000	0.1376	402.9000	1.8390
170.0000	-15.0000	0.1407	406.7000	1.8540
170.0000	-10.0000	0.1437	410.6000	1.8689
170.0000	-5.0000	0.1468	414.5000	1.8837
170.0000	0.0000	0.1498	418.5000	1.8983
170.0000	5.0000	0.1528	422.4000	1.9128
170.0000	10.0000	0.1558	426.5000	1.9272
170.0000	15.0000	0.1588	430.6000	1.9414
170.0000	20.0000	0.1618	434.7000	1.9556
170.0000	25.0000	0.1648	438.8000	1.9696
170.0000	30.0000	0.1678	443.0000	1.9836
170.0000	35.0000	0.1707	447.2000	1.9974
170.0000	40.0000	0.1737	451.5000	2.0111
170.0000	45.0000	0.1767	455.8000	2.0248
170.0000	50.0000	0.1796	460.2000	2.0384
170.0000	55.0000	0.1826	464.6000	2.0518
